Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-08,2.200,2.200,2.200,2.200
2023-03-09,2.200,2.200,2.200,2.200
2023-03-10,2.198,2.198,2.198,2.198
2023-03-13,2.201,2.201,2.201,2.201
2023-03-14,2.200,2.200,2.200,2.200
2023-03-15,2.203,2.203,2.203,2.203
2023-03-16,2.214,2.214,2.214,2.214
2023-03-17,2.214,2.214,2.214,2.214
2023-03-20,2.214,2.214,2.214,2.214
2023-03-21,2.214,2.214,2.214,2.214
2023-03-22,2.214,2.214,2.214,2.214
2023-03-23,2.214,2.214,2.214,2.214
2023-03-24,1.796,1.796,1.796,1.796
2023-03-27,1.787,1.787,1.787,1.787
2023-03-28,1.767,1.767,1.767,1.767
2023-03-29,1.767,1.767,1.767,1.767
2023-03-30,1.766,1.766,1.766,1.766
2023-03-31,1.760,1.760,1.760,1.760
2023-04-03,1.760,1.760,1.760,1.760
2023-04-04,1.635,1.635,1.635,1.635
2023-04-05,1.801,1.801,1.801,1.801
2023-04-10,1.801,1.801,1.801,1.801
2023-04-11,1.801,1.801,1.801,1.801
2023-04-12,1.808,1.808,1.808,1.808
2023-04-13,1.843,1.843,1.843,1.843
2023-04-14,1.842,1.842,1.842,1.842
2023-04-17,1.756,1.756,1.756,1.756
2023-04-18,1.754,1.754,1.754,1.754
2023-04-20,1.755,1.755,1.755,1.755
2023-04-21,1.633,1.633,1.633,1.633
2023-04-24,1.633,1.633,1.633,1.633
2023-04-25,1.627,1.627,1.627,1.627
2023-04-26,1.629,1.629,1.629,1.629
2023-04-27,1.629,1.629,1.629,1.629
2023-04-28,1.824,1.824,1.824,1.824
2023-05-02,2.189,2.189,2.189,2.189
2023-05-03,2.187,2.187,2.187,2.187
2023-05-04,2.618,2.618,2.618,2.618
2023-05-05,2.595,2.595,2.595,2.595
2023-05-08,2.593,2.593,2.593,2.593
2023-05-09,3.001,3.001,3.001,3.001
2023-05-10,3.001,3.001,3.001,3.001
2023-05-11,3.225,3.225,3.225,3.225
2023-05-12,3.225,3.225,3.225,3.225
2023-05-15,3.225,3.225,3.225,3.225
2023-05-16,4.139,4.139,4.139,4.139
2023-05-17,4.886,4.886,4.886,4.886
2023-05-18,4.886,4.886,4.886,4.886
2023-05-19,5.632,5.632,5.632,5.632
2023-05-23,5.590,5.590,5.590,5.590
2023-05-24,5.590,5.590,5.590,5.590
2023-05-25,5.581,5.581,5.581,5.581
2023-05-26,5.775,5.775,5.775,5.775
2023-05-29,5.776,5.776,5.776,5.776
2023-05-30,5.776,5.776,5.776,5.776
2023-05-31,5.755,5.755,5.755,5.755
2023-06-01,5.755,5.755,5.755,5.755
2023-06-02,6.714,6.714,6.714,6.714
2023-06-05,6.818,6.818,6.818,6.818
2023-06-06,6.785,6.785,6.785,6.785
2023-06-07,7.528,7.528,7.528,7.528
2023-06-08,7.566,7.566,7.566,7.566
2023-06-13,8.399,8.399,8.399,8.399
2023-06-14,7.421,7.421,7.421,7.421
2023-06-15,7.421,7.421,7.421,7.421
2023-06-16,8.840,8.840,8.840,8.840
2023-06-20,7.769,7.769,7.769,7.769
2023-06-21,7.357,7.357,7.357,7.357
2023-06-22,7.344,7.344,7.344,7.344
2023-06-23,8.663,8.663,8.663,8.663
2023-06-26,7.344,7.344,7.344,7.344
2023-06-27,7.262,7.262,7.262,7.262
2023-06-28,7.262,7.262,7.262,7.262
2023-06-29,7.203,7.203,7.203,7.203
2023-06-30,7.203,7.203,7.203,7.203
2023-07-04,7.198,7.198,7.198,7.198
2023-07-06,7.119,7.119,7.119,7.119
2023-07-07,7.119,7.119,7.119,7.119
2023-07-10,7.084,7.084,7.084,7.084
2023-07-11,7.084,7.084,7.084,7.084
2023-07-12,7.084,7.084,7.084,7.084
2023-07-13,7.108,7.108,7.108,7.108
2023-07-14,7.390,7.390,7.390,7.390
2023-07-17,7.390,7.390,7.390,7.390
2023-07-18,7.363,7.363,7.363,7.363
2023-07-19,6.994,6.994,6.994,6.994
2023-07-20,6.943,6.943,6.943,6.943
2023-07-21,6.943,6.943,6.943,6.943
2023-07-25,7.065,7.065,7.065,7.065
2023-07-26,7.065,7.065,7.065,7.065
2023-07-27,6.823,6.823,6.823,6.823
2023-07-28,6.823,6.823,6.823,6.823
2023-07-31,6.825,6.825,6.825,6.825
2023-08-01,5.911,5.911,5.911,5.911
2023-08-02,5.912,5.912,5.912,5.912
2023-08-03,5.912,5.912,5.912,5.912
2023-08-04,5.890,5.890,5.890,5.890
2023-08-07,5.924,5.924,5.924,5.924
2023-08-08,5.924,5.924,5.924,5.924
2023-08-09,6.770,6.770,6.770,6.770
2023-08-10,6.770,6.770,6.770,6.770
2023-08-11,6.770,6.770,6.770,6.770
2023-08-15,6.660,6.660,6.660,6.660
2023-08-16,6.363,6.363,6.363,6.363
2023-08-17,6.363,6.363,6.363,6.363
2023-08-18,6.343,6.343,6.343,6.343
2023-08-21,6.343,6.343,6.343,6.343
2023-08-22,6.296,6.296,6.296,6.296
2023-08-23,6.296,6.296,6.296,6.296
2023-08-24,6.298,6.298,6.298,6.298
2023-08-25,6.298,6.298,6.298,6.298
2023-08-28,6.298,6.298,6.298,6.298
2023-08-29,6.298,6.298,6.298,6.298
2023-08-30,6.298,6.298,6.298,6.298
2023-08-31,6.298,6.298,6.298,6.298
2023-09-01,6.298,6.298,6.298,6.298
